Number,Subsidy_Contract_Number,Star_Level,Star_Level_Cat,Star_Effective_Date,Facility_Name,Address,City,Zip,Phone,Capacity
K830021264,,,3,8/1/2013,ADA HEADSTART 1 & 2,1721 CRADDUCK RD.,ADA,74820,(580) 332-7223,30
K830005165,22968,,3,9/1/2010,LITTLE SCHOOL LEARNING CNTR,1200 S MAIN STREET,ALTUS,73521,(580) 482-6303,82
K830052609,29055,,3,10/1/2015,ANTLERS EARLY LEARNING CENTER,"611 SW ""B"" STREET",ANTLERS,74523,(580) 298-6405,8
K830022259,,,3,5/1/2012,ANTLERS EARLY HEAD START,"611 S.W. ""B""",ANTLERS,74523,(580) 298-6405,24
K830003276,21474,,3,4/1/2016,GLORIA AINSWORTH CHILD CARE AND LEARNING CENTER,502 G ST NE,ARDMORE,73401,(580) 226-3321,255
K830022510,27090,,3,9/1/2006,DELAWARE CDC,5106 E. TUXEDO BLVD,BARTLESVILLE,74006,(918) 977-3647,60
K830006576,23091,,3,1/1/2002,TRI COUNTY TECH CDC,6101 SE NOWATA RD,BARTLESVILLE,74006,(918) 331-3234,115
K830024978,28692,,3,8/1/2011,BROWN CHILD DEVELOPMENT CENTER,7910 E 134TH ST S,BIXBY,74008,(918) 369-9622,60
K830021484,26329,,3,8/1/2009,BRISTOW HEAD START II,1002 S CHESTNUT,BRISTOW,74010,(918) 367-1107,66
K830020956,25323,,3,1/1/2002,HAPPY HANDS ED CTR FOR DEAF,8801 S GARNETT,BROKEN ARROW,74012,(918) 893-4800,70
K820046633,52604,,3,4/1/2011,"WEBB, DEBRA CHILD CARE HOME",1524 N CYPRESS AVE,BROKEN ARROW,74012,(918) 250-8253,12
K830022608,28756,,3,9/1/2013,SOUTHSIDE HEADSTART,509 W HOUSTON,BROKEN ARROW,74012,(918) 258-4560,175
K830023258,27537,,3,3/1/2005,MARGARET HUDSON BROKEN ARROW,751 W KNOXVILLE ST,BROKEN ARROW,74012,(918) 251-2647,36
K830023722,27882,,3,8/1/2006,BLOSSOM CHILD CARE #6,1020 S ELM PL,BROKEN ARROW,74012,(918) 258-3448,90
K830023848,27963,,3,10/1/2013,KINDERCARE LEARNING CENTER,1812 S ASPEN AVE,BROKEN ARROW,74012,(918) 251-2542,135
K830023878,27973,,3,9/1/2011,KINDERCARE LEARNING CENTER,1900 W. HOUSTON ST,BROKEN ARROW,74012,(918) 259-0405,193
K830003805,21910,,3,5/1/2005,LA PETITE ACADEMY # 8,812 NORTH 15TH ST.,BROKEN ARROW,74012,(918) 251-6964,108
K820047477,58356,,3,12/1/2007,"STANFORD, MONA CHILD CARE HOME",3625 N 28TH ST,BROKEN ARROW,74014,(918) 938-3438,12
K830022815,27280,,3,3/1/2006,"KIDS' RANCH, INC.",201 E. MEMORIAL,BROKEN BOW,74728,(580) 584-2255,150
K830022602,27107,,3,1/1/2003,SMART START # 1,407-411 C AVENUE,CACHE,73527,(580) 429-3718,70
K820041167,55176,,3,9/1/2006,"APLIN, MICHELE CHILD CARE HOME",411 W. WILSON,CALERA,74730,(580) 434-7963,12
K830022414,26964,,3,3/1/2014,SPUNKY CREEK EARLY LEARNING,2607 N. OLD HWY. 66,CATOOSA,74015,(918) 266-6161,90
K830023864,27975,,3,10/1/2011,GREENBRIER LEARNING CENTER II,2929 N HWY 167,CATOOSA,74015,(918) 266-3272,153
K830051707,28926,,3,1/1/2014,"LEARN, GROW, & PLAY HOMETOWN CHILD CARE CENTER",6205 S. HWY 28,CHELSEA,74016,(918) 789-2986,74
K830020033,22259,,3,10/1/2007,CANADIAN VALLEY CHILD CARE CENTER,1401 MICHIGAN AVENUE,CHICKASHA,73018,(405) 222-7581,56
K830005328,23302,,3,1/1/2002,EASTERN OK CO TECH CTR CD,4601 N CHOCTAW RD,CHOCTAW,73020,(405) 390-3743,40
K820045938,57981,,3,3/1/2011,"FREEMAN, DEANN CHILD CARE HOME",16675 COBBLESTONE CIRCLE,CHOCTAW,73020,(405) 563-1475,7
K830024623,28471,,3,4/1/2011,BRIGHT BEGINNINGS,2550 HOLLY RD,CLAREMORE,74017,(918) 342-6100,76
K830020806,25251,,3,3/1/2012,KURTAIN KLIMBERS,1201 W CNTRY CLUB RD,CLAREMORE,74017,(918) 343-1222,142
K830023739,27883,,3,3/1/2014,CLAREMORE CHILDREN'S CENTER,1220 REAVIS RD,CLAREMORE,74017,(918) 283-2828,120
K820038271,53496,,3,10/1/2012,"HUFFMAN, MELISSA CHILD CARE HOME",402 MIDWAY DRIVE,COMMERCE,74339,(918) 675-4240,12
K830021108,28891,,3,9/1/2013,"CARD, INC. HEAD START COWETA",211 S. BROADWAY,COWETA,74429,(918) 486-6656,40
K830023620,,,3,12/1/2013,CUSHING HEAD START,223 S WILSON AVE,CUSHING,74023,(918) 225-0909,30
K830023696,27849,,3,12/1/2008,SMALL SOCIETY,3653 SE 15TH,DEL CITY,73115,(405) 672-1711,106
K830021557,,,3,1/1/2002,JACKIE WATSON CHILD DEV.CTR.,3725 W. ARKANSAS,DURANT,74701,(580) 924-7404,120
K830021959,26612,,3,8/1/2012,KIDDIE KORRAL,631 W. ARKANSAS,DURANT,74701,(580) 920-2760,53
K830022279,,,3,7/1/2013,"BIG FIVE HEAD START # 1,# 2",1502 N.1ST,DURANT,74701,(580) 924-5331,37
K830023643,27817,,3,10/1/2012,"VICTORY LIFE ACADEMY, INC",1519 RADIO ROAD,DURANT,74701,(580) 924-6789,215
K830023656,27852,,3,10/1/2008,SEE/SAW LEARNING CENTER,217 N 6TH,DURANT,74701,(580) 920-2090,57
K830024298,28226,,3,7/1/2013,CREATIVE LEARNING CENTER,22710 US HWY. 70,DURANT,74701,(580) 920-9080,60
K830024734,28533,,3,6/1/2011,HIGH FLYERS #2,1200 S KELLEY,EDMOND,73003,(405) 341-1644,100
K830003929,22013,,3,5/1/2012,LA PETITE ACADEMY (KELLEY),1100 N KELLY AVE,EDMOND,73003,(405) 348-0009,112
K830025060,28733,,3,1/1/2012,"CHILDCARE NETWORK, INC #199",14300 N WESTERN AVE,EDMOND,73013,(405) 748-4424,200
K830025062,28734,,3,1/1/2012,"CHILDCARE NETWORK, INC. #200",1909 SE 15TH STREET,EDMOND,73013,(405) 348-1491,161
K830004165,23908,,3,3/1/2014,LA PETITE ACADEMY,16301 N. SANTA FE,EDMOND,73013,(405) 341-7079,99
K830004240,22237,,3,3/1/2005,LA PETITE ACADEMY,100 S.E. 33RD,EDMOND,73013,(405) 340-9466,115
K830005405,23519,,3,1/1/2013,CHILD TIME (W. 15TH),1201 WEST 15TH ST,EDMOND,73013,(405) 340-8005,135
K830000001,20464,,3,2/1/2005,FIRST CHRISTIAN CHURCH DAY CARE,206 EAST FIRST,EDMOND,73034,(405) 341-2626,185
K830020250,,,3,12/1/2012,EDMOND HEAD START,717 CHURCHILL,EDMOND,73034,(405) 359-7155,44
K830020755,,,3,7/1/2004,UCO CHILD STUDY CENTER PART DAY,100 N. UNIVERSITY DRIVE,EDMOND,73034,(405) 974-5788,40
K830005419,23546,,3,2/1/2012,CHILD TIME (BRYANT),425 N. BRYANT,EDMOND,73034,(405) 340-5895,120
K830005423,23558,,3,10/1/2004,CANADIAN VALLEY CDC,6505 E HWY 66,EL RENO,73036,(405) 422-2330,35
K830024496,28355,,3,2/1/2015,KID CENTRAL EARLY CHILDHOOD AND SCHOOL AGE CENTER,8281 STATE HWY 17,ELGIN,73538,(580) 492-5800,89
K830024763,28567,,3,6/1/2012,APPLEWOOD EARLY LEARNING,525 S QUINCY,ENID,73701,(580) 541-8402,90
K830020592,25736,,3,1/1/2002,TURN THE PAGE,1524 E. BROADWAY,ENID,73701,(580) 234-8071,113
K830051398,28887,,3,11/1/2013,SUMMERHILL CHILDREN'S HOUSE,4619 W. RANDOLPH,ENID,73703,(580) 541-8402,114
K820019528,50403,,3,3/1/2005,"GOODWIN, SHELLY CHILD CARE HOME",316 S. LAMESA,ENID,73703,(580) 233-9003,12
K830007426,,,3,3/1/2016,OSAGE NATION HEAD START,1000 W MCKINNLEY,FAIRFAX,74637,(918) 642-5505,61
K830004068,21747,,3,1/1/2002,CADDO-KIOWA TC CHILD DEV CTR,100 CAREER TECH ROAD,FT COBB,73038,(405) 643-5511,120
K830004727,22604,,3,4/1/2008,GROWING TREE,14201 S ELWOOD,GLENPOOL,74033,(918) 322-9091,175
K830024908,28653,,3,2/1/2015,LIL PIRATES LEARNING CENTER,106 E. THIRD ST.,GORE,74435,(918) 489-5331,42
K830023271,27916,,3,9/1/2009,WEE LITTLE LAMBS,112 10TH STREET,GROVE,74344,(918) 787-8810,82
K830023341,27728,,3,6/1/2013,GUTHRIE EARLY HEAD START,2700 S. DIVISION,GUTHRIE,73044,(405) 282-1257,80
K830024676,28466,,3,4/1/2010,HARRAH CHRISTIAN EARLY LEARNING COLLABORATION,101 S. DOBBS,HARRAH,73045,(405) 454-6690,134
K830053185,29124,,3,8/1/2016,HUGO EARLY LEARNING CENTER,113 LOWERY STREET,HUGO,74743,(580) 326-3781,18
