ZIP Code,Type,City,County,Area Codes
ZIP Code 73001,P.O. Box,Albert,Caddo,405
ZIP Code 73002,Standard,Alex,Grady,405
ZIP Code 73003,Standard,Edmond,Oklahoma,405
ZIP Code 73004,Standard,Amber,Grady,405
ZIP Code 73005,Standard,Anadarko,Caddo,405
ZIP Code 73006,Standard,Apache,Caddo,580
ZIP Code 73007,Standard,Arcadia,Oklahoma,405
ZIP Code 73008,Standard,Bethany,Oklahoma,405
ZIP Code 73009,Standard,Binger,Caddo,405
ZIP Code 73010,Standard,Blanchard,Mcclain,405
ZIP Code 73011,Standard,Bradley,Grady,405
ZIP Code 73012,Standard,Edmond,Oklahoma,405
ZIP Code 73013,Standard,Edmond,Oklahoma,405
ZIP Code 73014,Standard,Calumet,Canadian,405
ZIP Code 73015,Standard,Carnegie,Caddo,580ÿ/ÿ405
ZIP Code 73016,Standard,Cashion,Kingfisher,405
ZIP Code 73017,Standard,Cement,Caddo,405
ZIP Code 73018,Standard,Chickasha,Grady,405
ZIP Code 73019,Unique,Norman,Cleveland,405
ZIP Code 73020,Standard,Choctaw,Oklahoma,405
ZIP Code 73021,Standard,Colony,Washita,405ÿ/ÿ580
ZIP Code 73022,P.O. Box,Concho,Canadian,405
ZIP Code 73023,P.O. Box,Chickasha,Grady,405
ZIP Code 73024,Standard,Corn,Washita,580
ZIP Code 73025,Standard,Edmond,Oklahoma,405
ZIP Code 73026,Standard,Norman,Cleveland,405
ZIP Code 73027,Standard,Coyle,Logan,405
ZIP Code 73028,Standard,Crescent,Logan,405
ZIP Code 73029,Standard,Cyril,Caddo,580
ZIP Code 73030,Standard,Davis,Murray,580
ZIP Code 73031,P.O. Box,Dibble,Mcclain,405
ZIP Code 73032,P.O. Box,Dougherty,Murray,580
ZIP Code 73033,P.O. Box,Eakly,Caddo,580ÿ/ÿ405
ZIP Code 73034,Standard,Edmond,Oklahoma,405
ZIP Code 73036,Standard,El Reno,Canadian,405
ZIP Code 73038,Standard,Fort Cobb,Caddo,405
ZIP Code 73039,P.O. Box,Davis,Murray,580
ZIP Code 73040,Standard,Geary,Blaine,405
ZIP Code 73041,Standard,Gotebo,Kiowa,580
ZIP Code 73042,Standard,Gracemont,Caddo,405
ZIP Code 73043,Standard,Greenfield,Blaine,405
ZIP Code 73044,Standard,Guthrie,Logan,405
ZIP Code 73045,Standard,Harrah,Oklahoma,405
ZIP Code 73047,Standard,Hinton,Caddo,405
ZIP Code 73048,Standard,Hydro,Caddo,580ÿ/ÿ405
ZIP Code 73049,Standard,Jones,Oklahoma,405
ZIP Code 73050,P.O. Box,Langston,Logan,405
ZIP Code 73051,Standard,Lexington,Cleveland,405
ZIP Code 73052,Standard,Lindsay,Garvin,405
ZIP Code 73053,Standard,Lookeba,Caddo,405
ZIP Code 73054,Standard,Luther,Oklahoma,405
ZIP Code 73055,Standard,Marlow,Stephens,580
ZIP Code 73056,Standard,Marshall,Logan,580
ZIP Code 73057,Standard,Maysville,Garvin,405
ZIP Code 73058,Standard,Meridian,Logan,405
ZIP Code 73059,Standard,Minco,Grady,405
ZIP Code 73061,Standard,Morrison,Noble,580
ZIP Code 73062,Standard,Mountain View,Kiowa,580
ZIP Code 73063,Standard,Mulhall,Logan,405
ZIP Code 73064,Standard,Mustang,Canadian,405
