"","zip","type","city","county","area"
"1","73001","P.O. Box","Albert","Caddo","405"
"2","73002","Standard","Alex","Grady","405"
"3","73003","Standard","Edmond","Oklahoma","405"
"4","73004","Standard","Amber","Grady","405"
"5","73005","Standard","Anadarko","Caddo","405"
"6","73006","Standard","Apache","Caddo","580"
"7","73007","Standard","Arcadia","Oklahoma","405"
"8","73008","Standard","Bethany","Oklahoma","405"
"9","73009","Standard","Binger","Caddo","405"
"10","73010","Standard","Blanchard","Mcclain","405"
"11","73011","Standard","Bradley","Grady","405"
"12","73012","Standard","Edmond","Oklahoma","405"
"13","73013","Standard","Edmond","Oklahoma","405"
"14","73014","Standard","Calumet","Canadian","405"
"15","73015","Standard","Carnegie","Caddo","580ÿ/ÿ405"
"16","73016","Standard","Cashion","Kingfisher","405"
"17","73017","Standard","Cement","Caddo","405"
"18","73018","Standard","Chickasha","Grady","405"
"19","73019","Unique","Norman","Cleveland","405"
"20","73020","Standard","Choctaw","Oklahoma","405"
"21","73021","Standard","Colony","Washita","405ÿ/ÿ580"
"22","73022","P.O. Box","Concho","Canadian","405"
"23","73023","P.O. Box","Chickasha","Grady","405"
"24","73024","Standard","Corn","Washita","580"
"25","73025","Standard","Edmond","Oklahoma","405"
"26","73026","Standard","Norman","Cleveland","405"
"27","73027","Standard","Coyle","Logan","405"
"28","73028","Standard","Crescent","Logan","405"
"29","73029","Standard","Cyril","Caddo","580"
"30","73030","Standard","Davis","Murray","580"
"31","73031","P.O. Box","Dibble","Mcclain","405"
"32","73032","P.O. Box","Dougherty","Murray","580"
"33","73033","P.O. Box","Eakly","Caddo","580ÿ/ÿ405"
"34","73034","Standard","Edmond","Oklahoma","405"
"35","73036","Standard","El Reno","Canadian","405"
"36","73038","Standard","Fort Cobb","Caddo","405"
"37","73039","P.O. Box","Davis","Murray","580"
"38","73040","Standard","Geary","Blaine","405"
"39","73041","Standard","Gotebo","Kiowa","580"
"40","73042","Standard","Gracemont","Caddo","405"
"41","73043","Standard","Greenfield","Blaine","405"
"42","73044","Standard","Guthrie","Logan","405"
"43","73045","Standard","Harrah","Oklahoma","405"
"44","73047","Standard","Hinton","Caddo","405"
"45","73048","Standard","Hydro","Caddo","580ÿ/ÿ405"
"46","73049","Standard","Jones","Oklahoma","405"
"47","73050","P.O. Box","Langston","Logan","405"
"48","73051","Standard","Lexington","Cleveland","405"
"49","73052","Standard","Lindsay","Garvin","405"
"50","73053","Standard","Lookeba","Caddo","405"
"51","73054","Standard","Luther","Oklahoma","405"
"52","73055","Standard","Marlow","Stephens","580"
"53","73056","Standard","Marshall","Logan","580"
"54","73057","Standard","Maysville","Garvin","405"
"55","73058","Standard","Meridian","Logan","405"
"56","73059","Standard","Minco","Grady","405"
"57","73061","Standard","Morrison","Noble","580"
"58","73062","Standard","Mountain View","Kiowa","580"
"59","73063","Standard","Mulhall","Logan","405"
"60","73064","Standard","Mustang","Canadian","405"
"61","73065","Standard","Newcastle","Mcclain","405"
"62","73066","P.O. Box","Nicoma Park","Oklahoma","405"
"63","73067","Standard","Ninnekah","Grady","405"
"64","73068","Standard","Noble","Cleveland","405"
"65","73069","Standard","Norman","Cleveland","405"
"66","73070","P.O. Box","Norman","Cleveland","405"
"67","73071","Standard","Norman","Cleveland","405"
"68","73072","Standard","Norman","Cleveland","405"
"69","73073","Standard","Orlando","Logan","580"
"70","73074","Standard","Paoli","Garvin","405"
"71","73075","Standard","Pauls Valley","Garvin","405"
"72","73077","Standard","Perry","Noble","580"
"73","73078","Standard","Piedmont","Canadian","405"
"74","73079","Standard","Pocasset","Grady","405"
"75","73082","Standard","Rush Springs","Grady","580"
"76","73083","P.O. Box","Edmond","Oklahoma","405"
"77","73084","Standard","Spencer","Oklahoma","405"
"78","73085","P.O. Box","Yukon","Canadian","405"
"79","73086","Standard","Sulphur","Murray","580"
"80","73089","Standard","Tuttle","Grady","405"
"81","73090","Standard","Union City","Canadian","405"
"82","73092","Standard","Verden","Grady","405"
"83","73093","Standard","Washington","Mcclain","405"
"84","73095","Standard","Wayne","Mcclain","405"
